NEIGHBORHOOD_NAME,PRIORITY_NEIGH,ZCTA,Indicator,N_FULLY_VACCINATED_CUMULATIVE,N_PARTIALLY_VACCINATED_CUMULATIVE,PERC_FULLY,PERC_PARTIALLY,POPULATION_ESTIMATE
Bergen Beach/Flatlands/Marine Park/Mill Basin,No,11234,6,"4,190","4,129",6,6,"73,347"
Bloomfield/Freshkills Park,No,10314,8,"5,885","6,233",8,8,"73,875"
Boerum Hill/Park Slope,No,11217,6,"2,404","2,072",7,6,"34,614"
Borough Park,No,11219,4,"2,310","2,294",4,4,"57,913"
Breezy Point,No,11697,20,575,530,21,20,"2,690"
Briarwood/Jamaica,Yes,11435,5,"2,050","2,114",4,5,"46,003"
Brighton Beach/Coney Island/Seagate,Yes,11224,6,"2,044","2,099",5,6,"37,631"
Brighton Beach/Manhattan Beach/Sheepshead Bay,Yes,11235,6,"3,739","4,003",6,6,"65,011"
Brooklyn Heights/DUMBO/Downtown Brooklyn,No,11201,7,"4,183","3,534",8,7,"53,066"
Bushwick/East Williamsburg,Yes,11237,4,"1,191","1,337",3,4,"37,702"
Cambria Heights,No,11411,9,"1,580","1,587",9,9,"17,780"
Canarsie,Yes,11236,4,"3,126","2,859",4,4,"76,846"
Carroll Gardens/Cobble Hill/Red Hook,No,11231,5,"1,605","1,628",5,5,"30,286"
Castle Hill/Clason Point/Soundview,Yes,10473,6,"2,012","2,847",4,6,"45,025"
Central Harlem (North),Yes,10030,4,914,843,4,4,"23,159"
Central Harlem (North)/East Harlem,Yes,10037,5,898,844,5,5,"17,343"
Central Harlem (North)/Washington Heights (South),Yes,10039,4,897,776,4,4,"20,884"
Central Harlem (South),Yes,10026,5,"1,634","1,460",5,5,"31,434"
Central Harlem (South)/Morningside Heights/West Harlem,Yes,10027,4,"2,771","2,249",5,4,"52,767"
Charleston/Prince's Bay/Woodrow,No,10309,8,"1,798","1,958",7,8,"25,506"
Charlotte Gardens/Hunts Point,Yes,10459,6,"1,198","1,938",3,6,"34,636"
Charlotte Gardens/Tremont/Van Nest/West Farms,Yes,10460,5,"1,267","2,060",3,5,"42,448"
Chelsea,No,10011,6,"3,190","2,878",7,6,"45,084"
Chelsea/NoMad/West Chelsea,No,10001,5,"1,422","1,310",6,5,"25,537"
Chinatown/Financial District,No,10038,6,"1,266","1,214",6,6,"20,422"
Chinatown/Lower East Side,Yes,10002,7,"3,187","4,738",5,7,"63,973"
City Island,No,10464,22,"1,112",786,32,22,"3,510"
Claremont/Morrisania,Yes,10456,5,"2,290","3,581",3,5,"66,840"
Clinton Hill/Prospect Heights,Yes,11238,6,"2,794","2,642",6,6,"45,934"
